LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738309574.371666,92945.000,12786,3,PG,1,100,9504
1738309574.371666,92945.000,12786,3,PG,1,100,9505
1738309574.371666,92945.000,12786,3,PG,1,100,9501
1738309574.411667,92985.000,12802,2,PG,1,100,9499
1738309574.451668,93025.000,12802,2,PG,1,100,9519
1738309574.491669,93065.000,12825,4,PG,1,100,9523
1738309574.531670,93105.000,12825,4,PG,1,100,9510
1738309574.571671,93145.000,12825,4,PG,1,100,9515
1738309574.611672,93185.000,12825,4,PG,1,100,9516
1738309574.651673,93225.000,12842,2,PG,1,100,9520
1738309574.691674,93265.000,12842,2,PG,1,100,9516
1738309574.731675,93305.000,12859,3,PG,1,100,9512
1738309574.771676,93345.000,12859,3,PG,1,100,9508
1738309574.811677,93385.000,12859,3,PG,1,100,9512
1738309574.851678,93425.000,12876,3,PG,1,100,9511
1738309574.891679,93465.000,12876,3,PG,1,100,9512
1738309574.931679,93505.000,12876,3,PG,1,100,9519
1738309574.971680,93545.000,12892,2,PG,1,100,9505
1738309575.011681,93585.000,12892,2,PG,1,100,9507
1738309575.051682,93625.000,12908,3,PG,1,100,9485
1738309575.091683,93665.000,12908,3,PG,1,100,9516
1738309575.131684,93705.000,12908,3,PG,1,100,9509
1738309575.171685,93745.000,12924,2,PG,1,100,9504
1738309575.211686,93785.000,12924,2,PG,1,100,9520
1738309575.251687,93825.000,12941,3,PG,1,100,9497
1738309575.291688,93865.000,12941,3,PG,1,100,9518
1738309575.331689,93905.000,12941,3,PG,1,100,9507
1738309575.371690,93945.000,12957,2,PG,1,100,9506
1738309575.411691,93985.000,12957,2,PG,1,100,9501
1738309575.451692,94025.000,12973,3,PG,1,100,9508
1738309575.491693,94065.000,12973,3,PG,1,100,9514
1738309575.531694,94105.000,12973,3,PG,1,100,9501
1738309575.571695,94145.000,12989,2,PG,1,100,9510
1738309575.611696,94185.000,12989,2,PG,1,100,9501
1738309575.651697,94225.000,13006,3,PG,1,100,9514
1738309575.691698,94265.000,13006,3,PG,1,100,9513
1738309575.731698,94305.000,13006,3,PG,1,100,9503
1738309575.771699,94345.000,13023,2,PG,1,100,9503
1738309575.811700,94385.000,13023,2,PG,1,100,9498
1738309575.851701,94425.000,13038,3,PG,1,100,9507
1738309575.891702,94465.000,13038,3,PG,1,100,9516
1738309575.931703,94505.000,13038,3,PG,1,100,9518
1738309575.971704,94545.000,13054,2,PG,1,100,9513
1738309576.011705,94585.000,13054,2,PG,1,100,9505
1738309576.051706,94625.000,13072,3,PG,1,100,9500
1738309576.091707,94665.000,13072,3,PG,1,100,9514
1738309576.131708,94705.000,13072,3,PG,1,100,9508
1738309576.171709,94745.000,13088,3,PG,1,100,9510
1738309576.211710,94785.000,13088,3,PG,1,100,9508
1738309576.251711,94825.000,13088,3,PG,1,100,9504
1738309576.291712,94865.000,13103,2,PG,1,100,9516
1738309576.331713,94905.000,13103,2,PG,1,100,9510
1738309576.371380,94944.667,13119,3,PG,1,100,9520
1738309576.411048,94984.333,13119,3,PG,1,100,9508
1738309576.450716,95024.000,13119,3,PG,1,100,9505
1738309576.491217,95064.500,13137,2,PG,1,100,9514
1738309576.531717,95105.000,13137,2,PG,1,100,9502
1738309576.571385,95144.667,13153,3,PG,1,100,9522
1738309576.611053,95184.333,13153,3,PG,1,100,9509
1738309576.650720,95224.000,13153,3,PG,1,100,9505
1738309576.697721,95271.000,13169,2,PG,1,100,9513
1738309576.744723,95318.000,13169,2,PG,1,100,9518
1738309576.784723,95358.000,13185,2,PG,1,100,9516
1738309576.824724,95398.000,13185,2,PG,1,100,9504
1738309576.864725,95438.000,13202,3,PG,1,100,9510
1738309576.904726,95478.000,13202,3,PG,1,100,9505
1738309576.944727,95518.000,13202,3,PG,1,100,9513
1738309576.984728,95558.000,13218,2,PG,1,100,9508
1738309577.024729,95598.000,13218,2,PG,1,100,9518
1738309577.064730,95638.000,13235,3,PG,1,100,9519
